Province,2012,2013,2014,2015,2016,2017,2018,2019,2020
AnGiang,0.186112,0.216281,0.288387,0.330658,0.326886,0.426101,0.475557,0.550753,0.63542
BàRịa-VũngTàu,2.267837,2.351859,2.512504,2.812394,2.925101,3.399863,3.44351,3.621214,3.918383
BìnhDương,1.899025,1.924597,2.165893,2.345677,2.567166,2.919822,3.246157,3.542348,3.929137
BìnhPhước,0.099649,0.131033,0.127444,0.155705,0.16472,0.228238,0.273667,0.309824,0.386365
BìnhThuận,14.20676,17.255104,17.269174,21.488045,18.35224,20.618952,29.483677,29.012861,18.248634
BìnhĐịnh,0.096003,0.12964,0.165242,0.222214,0.208907,0.274195,0.35276,0.405287,0.502274
BạcLiêu,0.186188,0.212286,0.350891,0.366734,0.344183,0.478807,0.571403,0.620357,0.644351
BắcGiang,0.118653,0.131946,0.191083,0.234505,0.27903,0.3317,0.361801,0.468849,0.534521
BắcKạn,0.011008,0.014021,0.017044,0.022195,0.028186,0.024436,0.019509,0.022736,0.019974
BắcNinh,1.420404,1.743961,2.2005,2.41425,2.91724,3.431272,3.686033,4.067782,4.176499
BếnTre,0.243502,0.27619,0.459666,0.497087,0.503887,0.747876,0.968318,1.10268,1.170334
CaoBằng,0.005197,0.010425,0.010551,0.010014,0.013515,0.016967,0.017165,0.024736,0.023142
CàMau,0.111872,0.142472,0.225992,0.216245,0.195886,0.271651,0.31093,0.312339,0.346687
CầnThơ,0.73887,0.881269,0.987844,1.118714,1.203079,1.335587,1.56952,1.670425,1.860127
GiaLai,0.071313,0.080756,0.081718,0.095338,0.089286,0.111958,0.135572,0.130448,0.148538
HoàBình,0.062618,0.064484,0.084203,0.089551,0.099159,0.130285,0.133922,0.131643,0.150846
HàGiang,0.002666,0.006415,0.004653,0.007143,0.009848,0.015002,0.012291,0.014164,0.012233
HàNam,0.594631,0.691472,0.904738,1.087698,1.255717,1.437351,1.78156,2.114493,2.421435
HàNội,2.508958,2.686517,3.254148,3.483915,3.730329,4.167689,4.407321,4.888561,4.681901
HàTĩnh,0.079813,0.093496,0.152825,0.248028,0.331414,0.413306,0.419922,0.397316,0.408201
HưngYên,0.932431,1.100074,1.310708,1.462664,1.743831,1.966356,2.297009,2.483872,2.689524
HảiDương,0.593395,0.696244,0.802631,0.836723,0.936914,1.110648,1.395214,1.543328,1.848534
HảiPhòng,1.700767,2.080571,2.50141,2.852673,3.088616,3.440868,3.77403,3.75525,4.0795
HậuGiang,0.311371,0.357338,0.38412,0.445359,0.47469,0.568025,0.629884,0.691592,0.832456
HồChíMinh,6.656984,6.731864,7.393913,8.054248,8.815296,9.783759,10.269669,11.075638,11.210077
KhánhHòa,0.328806,0.400896,0.499441,0.603866,0.661116,0.748525,0.923107,0.971097,0.993061
KiênGiang,0.098851,0.119886,0.140878,0.181985,0.216401,0.314086,0.365569,0.433104,0.477906
KonTum,0.048205,0.053539,0.052944,0.05484,0.051079,0.067098,0.07569,0.073045,0.085988
LaiChâu,0.017126,0.023166,0.024971,0.02847,0.036624,0.039926,0.035565,0.037979,0.033412
LongAn,2.421766,3.321508,3.749143,4.913563,4.782041,8.067464,11.547576,15.077409,12.200144
LàoCai,0.027324,0.04522,0.046348,0.064005,0.078544,0.100359,0.095876,0.095077,0.092664
LâmĐồng,0.216407,0.280003,0.295765,0.338037,0.374668,0.467268,0.605429,0.637509,0.673797
LạngSơn,0.021929,0.027978,0.032813,0.040169,0.046032,0.061408,0.068488,0.07186,0.072283
NamĐịnh,0.533702,0.581897,0.792321,0.830189,0.873595,1.27885,1.466844,1.695511,1.885544
NghệAn,0.049346,0.054353,0.077226,0.084347,0.085657,0.105758,0.138684,0.140606,0.155619
NinhBình,0.34874,0.38559,0.487755,0.495843,0.518584,0.715913,0.865731,0.953346,1.048204
NinhThuận,0.154638,0.187463,0.21825,0.230945,0.216405,0.258923,0.309536,0.369696,0.433534
PhúThọ,0.085824,0.110025,0.125189,0.159829,0.225002,0.257021,0.309233,0.345449,0.361445
PhúYên,0.137034,0.179996,0.240059,0.293881,0.285166,0.322828,0.402076,0.405008,0.452822
QuảngBình,0.048204,0.039856,0.06148,0.084808,0.078256,0.09874,0.131528,0.148469,0.157423
QuảngNam,0.085829,0.109308,0.154711,0.187955,0.181721,0.260617,0.302955,0.343076,0.40277
QuảngNgãi,0.215304,0.242749,0.293567,0.355491,0.324749,0.392329,0.505462,0.556839,0.61502
QuảngNinh,0.420613,0.485558,0.557635,0.613231,0.66228,0.783765,0.867304,0.943719,0.981089
QuảngTrị,0.047516,0.05745,0.090683,0.115012,0.114433,0.151384,0.17718,0.198252,0.224342
SócTrăng,0.182015,0.201532,0.339939,0.361534,0.350368,0.527361,0.655659,0.722421,0.804063
SơnLa,0.013702,0.016896,0.016991,0.023368,0.021232,0.036738,0.039838,0.036586,0.038268
ThanhHóa,0.082003,0.098561,0.150197,0.19162,0.218909,0.316288,0.408174,0.402337,0.410626
TháiBình,0.262863,0.32179,0.441506,0.544128,0.604756,0.769445,0.924747,1.106645,1.226594
TháiNguyên,0.204901,0.238731,0.298559,0.335806,0.384405,0.45714,0.455552,0.517974,0.455179
ThừaThiênHuế,0.137757,0.153366,0.19252,0.212548,0.195593,0.270234,0.306547,0.32966,0.376113
TiềnGiang,4.852778,6.285554,7.447033,8.391354,7.812449,11.17022,15.376289,17.411296,13.713546
TràVinh,0.169836,0.185283,0.280153,0.352338,0.39373,0.599086,0.825726,1.158668,1.2727
TuyênQuang,0.023211,0.027055,0.033366,0.040524,0.051022,0.051774,0.058056,0.058847,0.056866
TâyNinh,0.331785,0.359542,0.434996,0.510458,0.545604,0.632262,0.751173,0.842141,0.957737
VĩnhLong,0.407885,0.514201,0.561252,0.645428,0.750143,1.024937,1.333379,1.613855,1.843244
VĩnhPhúc,0.636758,0.638179,0.850135,0.922932,0.985521,1.201118,1.350524,1.693717,1.75823
YênBái,0.014887,0.024297,0.02928,0.03322,0.040843,0.055147,0.061685,0.070579,0.067085
ĐiệnBiên,0.020068,0.025243,0.02348,0.028192,0.027319,0.03787,0.040327,0.03638,0.03907
ĐàNẵng,2.074898,2.152643,2.627805,3.004832,2.94255,3.772302,4.29058,4.509638,4.265431
ĐắkLắk,0.094158,0.109655,0.099993,0.118797,0.11527,0.134419,0.181786,0.170952,0.209987
ĐắkNông,0.042535,0.059123,0.05812,0.080002,0.073195,0.093965,0.120474,0.126949,0.152847
ĐồngNai,0.867026,0.946167,1.084405,1.211211,1.351065,1.660123,2.038998,2.143313,2.281443
ĐồngTháp,0.253264,0.312935,0.362846,0.431455,0.469449,0.565325,0.708583,0.890372,1.049623
